State,District,Total Population,Households,Total Working Population,Electricity_Deprivation,Average Household Size,Electricity Access,Average Annual Income,MPI,Headcount_Ratio (H)
Uttar Pradesh,Kheri,4021243,745077,1264718,56.97888,5.397083791339687,43.02112,47176.383023856055,0.30128713,60.721974
Uttar Pradesh,Kushinagar,3564544,561062,1116973,49.18224,6.353208736289394,50.81776,47003.47365609738,0.18851928,42.525038
Uttar Pradesh,Lalitpur,1221592,222094,503351,20.16497,5.500337694849929,79.83503,61806.76527023753,0.18083979,43.191418
Uttar Pradesh,Lucknow,4589838,860703,1542806,6.21705,5.3326617892583155,93.78295,50420.27627118866,0.06192522,15.144161
Uttar Pradesh,Mahamaya Nagar,1564708,260860,484115,11.27752,5.998267269799893,88.72248,46409.45786689913,0.15194029,37.449504
Uttar Pradesh,Mahoba,875958,158435,349676,17.59877,5.528816233786727,82.40123,59878.89830334332,0.16201825,39.082175
Uttar Pradesh,Mahrajganj,2684703,426565,994253,43.62019,6.29377234419139,56.37981,55551.00508324384,0.21964642,50.421919
Uttar Pradesh,Mainpuri,1868529,313690,560840,15.88892,5.956610029009532,84.11108,45022.58193477329,0.1432535,35.55695
Uttar Pradesh,Mathura,2547184,423125,840939,3.4134200000000003,6.019932644017725,96.58658,49521.687479192704,0.14850455,34.745945
Uttar Pradesh,Mau,2205968,324424,696747,14.77091,6.799644909131261,85.22909,47376.95651070188,0.16116049,39.562940000000005
Uttar Pradesh,Meerut,3443689,579110,1090539,4.00638,5.946519659477474,95.99361999999999,47501.63269679695,0.0867558,19.829043
Uttar Pradesh,Mirzapur,2496970,394925,881996,28.183760000000003,6.322643539912642,71.81624,52983.976579614486,0.20033667,46.003295
Uttar Pradesh,Moradabad,4772006,796170,1417811,20.56938,5.993702350000628,79.43062,44566.50934638389,0.17946677,38.926732
Uttar Pradesh,Muzaffarnagar,4143512,676642,1291644,5.71212,6.123639975053278,94.28788,46759.02953822748,0.13573687,30.271471
Uttar Pradesh,Pilibhit,2031007,362573,618605,46.92693,5.601649874645934,53.07307,45687.06557879908,0.21388694,47.088408
Uttar Pradesh,Pratapgarh,3209141,533546,1066601,26.13887,6.0147409970274355,73.86113,49854.509353125955,0.17440116,41.670495
Uttar Pradesh,Rae Bareli,3405559,619707,1204710,25.570120000000003,5.495434132582011,74.42988,53062.213868560204,0.18298525,42.414334
Uttar Pradesh,Rampur,2335819,393736,737261,17.991960000000002,5.9324496617022575,82.00804,47344.91413932329,0.20173785,42.863026
Uttar Pradesh,Saharanpur,3466382,597656,1037344,5.52219,5.799961850964435,94.47781,44888.76298111403,0.14880031,33.012569
Uttar Pradesh,Sant Kabir Nagar,1715183,256645,539469,32.99109,6.6830953262288375,67.00891,47178.84330709901,0.2083911,47.925524
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),1578213,222403,470608,17.41673,7.096185752890024,82.58327,44728.56325476979,0.19640414,46.484076
Uttar Pradesh,Shahjahanpur,3006538,527501,892214,45.16425,5.69958729936057,54.83575,44513.68983195955,0.25154228,54.311778
Uttar Pradesh,Shrawasti,1117361,188289,403755,70.59395,5.934287186187191,29.406049999999993,54202.04392313675,0.39313896,75.376641
Uttar Pradesh,Sitapur,4483992,801764,1422602,68.98848,5.59265818869393,31.011520000000004,47589.35787575,0.27862606,58.014006
Uttar Pradesh,Sonbhadra,1862559,333174,730399,46.99633,5.590349186911344,53.00367,58822.21717540223,0.2528586,53.527238
Uttar Pradesh,Sultanpur,3797117,623523,1242632,22.74363,6.089778564704109,77.25637,49088.50583218795,0.20109774,47.213241
Uttar Pradesh,Unnao,3108367,588533,1124744,51.7738,5.281550907085924,48.2262,54276.60247326007,0.19819269,44.52069
Uttar Pradesh,Varanasi,3676841,560162,1220708,10.01069,6.563888660780274,89.98931,49799.86896360218,0.11010978,26.363028
Uttarakhand,Almora,622506,140577,298211,2.62104,4.428220832710899,97.37896,71857.37968790662,0.09607097,24.850553
Uttarakhand,Bageshwar,259898,58046,123638,2.41448,4.47744891982221,97.58552,71357.60952373623,0.07954594,20.49034
Uttarakhand,Chamoli,391605,88964,180940,4.13995,4.401836697990198,95.86005,69307.08239169572,0.0656251,16.749081
Uttarakhand,Champawat,259648,53953,99566,7.00959,4.812484940596445,92.99041,57519.7960315504,0.09980288,23.904765
Uttarakhand,Dehradun,1696694,347001,582768,0.53338,4.889593978115337,99.46662,51520.89887746406,0.02938429,7.0194790000000005
Uttarakhand,Garhwal,687271,161778,274152,1.6961,4.24823523594061,98.3039,59834.91228350971,0.04637594,12.003021
Uttarakhand,Hardwar,1890422,338104,578121,2.0986700000000003,5.59124411423704,97.90133,45872.37664394511,0.10122294,22.728795
Uttarakhand,Nainital,954605,191383,376181,1.2931,4.987929962431355,98.7069,59110.46977545686,0.050002,11.976403
Uttarakhand,Pithoragarh,483439,114730,216490,2.50295,4.213710450623203,97.49705,67171.86656434421,0.05923241,15.101016
Uttarakhand,Rudraprayag,242285,53542,113032,0.88663,4.525139143102611,99.11337,69978.74404110861,0.05165009,13.125419999999998
Uttarakhand,Tehri Garhwal,618931,132714,280442,1.77679,4.663645131636451,98.22321,67966.05760577512,0.07081903,18.060644
Uttarakhand,Udham Singh Nagar,1648902,308581,591458,3.08561,5.343498141492834,96.91439,53804.71368219579,0.09589154,22.613027
Uttarakhand,Uttarkashi,330086,67602,157276,6.5635,4.882784533001982,93.4365,71470.4652726865,0.10627218,25.310241
West Bengal,Bankura,3596674,766902,1466220,9.48743,4.689874325533119,90.51257,61148.994876933524,0.15132759,35.693319
West Bengal,Barddhaman,7717563,1730927,2911251,4.98513,4.458629971107967,95.01487,56583.61972555326,0.11572302,26.793086
West Bengal,Birbhum,3502404,817899,1331603,3.58908,4.282196212490784,96.41092,57029.52886074822,0.16636083,40.007855
West Bengal,Dakshin Dinajpur,1676276,396406,702987,5.21432,4.228684732319894,94.78568,62906.138368621876,0.12190682,29.859971
West Bengal,Darjiling,1846823,391234,683726,3.61651,4.720507420111749,96.38349,55532.609243008126,0.05714176,13.727198
West Bengal,Haora,4850029,1061336,1819845,2.00829,4.569739460453617,97.99171,56283.529438689955,0.06408108,15.30706
West Bengal,Hugli,5519145,1287423,2152870,4.5362800000000005,4.286970948942189,95.46372,58510.965013602654,0.07384632,17.854208
West Bengal,Jalpaiguri,3872846,868326,1512910,9.50853,4.460129029880482,90.49146999999999,58596.830341304565,0.11029261,25.862859
West Bengal,Koch Bihar,2819086,665720,1127977,9.32017,4.234642191912516,90.67983,60018.22931262118,0.12045329,29.522261
West Bengal,Kolkata,4496694,1024928,1795740,0.12019,4.387326719535421,99.87981,59902.008008550285,0.01540481,3.851112
West Bengal,Maldah,3988845,846991,1537847,4.36313,4.709430206460281,95.63687,57830.53741120549,0.16516493,38.911929
West Bengal,Murshidabad,7103807,1570759,2589907,6.9044300000000005,4.52253146408838,93.09557,54687.022043250894,0.12591504,29.269545
West Bengal,Nadia,5167600,1232282,1842607,3.64896,4.1935206389446575,96.35104,53485.38006037619,0.06402529,16.102036000000002
West Bengal,North Twenty Four Parganas,10009781,2348683,3571624,2.66939,4.261869737210173,97.33061000000001,53522.010121899766,0.03803553,9.637956
West Bengal,Paschim Medinipur,5913457,1301610,2509159,3.46992,4.543186515161992,96.53008,63647.008847785655,0.13801251,34.35656
West Bengal,Purba Medinipur,5095875,1114170,1910320,2.09041,4.573696114596515,97.90959,56231.36360291412,0.07196322,18.708052
West Bengal,Puruliya,2930115,567824,1249642,17.66306,5.160252120375327,82.33694,63972.33555679555,0.26232211,59.198024
West Bengal,South Twenty Four Parganas,8161961,1781221,2964494,11.76183,4.58222814574946,88.23817,54481.28213305601,0.13444576,32.536347
West Bengal,Uttar Dinajpur,3007134,605674,1075626,9.69497,4.964938234099532,90.30503,53653.711474114556,0.2090438,46.905051
