State,District,Total Population,Households,Total Working Population,Electricity_Deprivation,Average Household Size,Electricity Access,Average Annual Income,MPI,Headcount_Ratio (H)
Bihar,Khagaria,1666886,328823,560805,45.55886,5.069250022048336,54.44114,50465.80869957514,0.29424397,58.596196
Bihar,Kishanganj,1690400,338445,529064,46.46754,4.994607691057631,53.53246,46947.23142451491,0.325327,65.983985
Bihar,Lakhisarai,1000912,163355,326576,18.08976,6.127219858590187,81.91024,48941.76511021948,0.2067145,43.883319
Bihar,Madhepura,2001762,401289,777546,45.98474,4.988330106232665,54.01526,58264.61887077485,0.33740048,68.02049799999999
Bihar,Madhubani,4487379,898515,1636938,45.68043,4.994217124922789,54.31957,54718.06593559403,0.267928,56.926885000000006
Bihar,Munger,1367765,263171,426658,31.90174,5.197248177040783,68.09826,46790.713316980626,0.18398767,40.03417
Bihar,Muzaffarpur,4801062,945703,1547586,26.32818,5.076712244753374,73.67182,48351.36476054673,0.22163151,48.323859
Bihar,Nalanda,2877653,477529,1045420,30.26688,6.026132444312283,69.73312,54493.36664288572,0.22269984,47.257523
Bihar,Nawada,2219146,338247,817041,43.09985,6.560726333123427,56.90015,55226.71784551354,0.23795198,50.63589
Bihar,Pashchim Champaran,3935042,710461,1478947,52.80445,5.538716410893771,47.19555,56376.03105633942,0.27288272,56.695581
Bihar,Patna,5838465,975578,1881886,12.97796,5.984621424427365,87.02204,48348.82113706257,0.12480551,28.236842
Bihar,Purba Champaran,5099371,981516,1737539,57.39196,5.195402825832692,42.60804,51110.39185028899,0.30025563,61.457335
Bihar,Purnia,3264619,647777,1143318,49.49805,5.039726634320144,50.50195,52532.225046781874,0.3343122,66.977859
Bihar,Rohtas,2959918,460345,924879,18.51251,6.429782011317599,81.48749000000001,46870.16667353622,0.16227447,39.004405
Bihar,Saharsa,1900661,368979,649898,40.55878,5.15113597250792,59.44122,51289.89335815277,0.31236634,61.609379
Bihar,Samastipur,4261566,835493,1343400,58.63454,5.100660328692161,41.36546,47285.434509286024,0.26916566,55.535625
Bihar,Saran,3951862,631097,1040231,38.92582,6.261893179653841,61.07418,39483.83066007871,0.18678654,42.625748
Bihar,Sheikhpura,636342,100701,224655,19.55713,6.319122948133583,80.44287,52956.19336771736,0.23732915,52.209863
Bihar,Sheohar,656246,150144,216372,38.6004,4.370777387041773,61.3996,49456.75859357619,0.29679699,62.081438
Bihar,Sitamarhi,3423574,736322,1114583,59.22748,4.6495609257906185,40.77252,48834.18614582305,0.31694917,64.992458
Bihar,Siwan,3330464,535661,932416,45.00599,6.217484565798145,54.99401,41994.869183393064,0.17215838,39.811663
Bihar,Supaul,2229076,443073,877682,39.0313,5.030945239272084,60.9687,59061.377898286104,0.314436,66.273335
Bihar,Vaishali,3495021,626087,1060344,34.83866,5.582324820671888,65.16134,45508.052741314,0.21446225,46.817917
Chandigarh,Chandigarh,1055450,241173,404136,0.3944999999999999,4.376319073859843,99.6055,57435.59619119807,0.0196646,4.439672
Chhattisgarh,Bastar,1413199,311538,726531,12.72083,4.536201041285493,87.27917,77115.57254144676,0.2687057,61.263006
Chhattisgarh,Bijapur,255230,54757,134525,7.42097,4.661139215077524,92.57903,79061.04298084081,0.20586745,50.308468
Chhattisgarh,Bilaspur,2663629,600822,1203197,0.46178,4.433308034659183,99.53822,67757.01495966593,0.12018982,29.555291
Chhattisgarh,Dakshin Bastar Dantewada,533638,120850,286595,12.50176,4.415705419942077,87.49824,80558.82452149209,0.3226211,65.115756
Chhattisgarh,Dhamtari,799781,170951,402895,1.33454,4.678422471936403,98.66546,75563.49800757958,0.09664379,25.123437
Chhattisgarh,Durg,3343872,701707,1496805,0.61468,4.7653393795416035,99.38532,67143.94271072577,0.09278083,24.030824
Chhattisgarh,Janjgir - Champa,1619707,364532,846466,1.47278,4.443250523959488,98.52722,78390.65954521403,0.11379286,29.944602
Chhattisgarh,Jashpur,851669,192570,487360,15.93528,4.42264631043257,84.06472,85836.16404964839,0.22882584,52.986934
Chhattisgarh,Korba,1206640,280073,521186,5.5197,4.308305334680601,94.4803,64789.746734734465,0.16570794,39.107976
Chhattisgarh,Mahasamund,1032754,248561,499260,1.02022,4.154931787368091,98.97978,72513.88036260329,0.15713085,40.787642000000005
Chhattisgarh,Narayanpur,139820,27982,71089,21.55977,4.996783646629976,78.44023,76264.84050922615,0.28131403,62.427897
Chhattisgarh,Raigarh,1493984,367962,690167,3.97921,4.060158385920285,96.02079,69294.61761304003,0.15039953,37.030396
Chhattisgarh,Raipur,4063872,871225,1757664,1.29847,4.664549341444518,98.70153,64876.45280166304,0.10875387,26.826579
Chhattisgarh,Rajnandgaon,1537133,318488,800092,1.0353599999999998,4.826345105624074,98.96464,78076.39286906208,0.10083664,26.820434
Chhattisgarh,Surguja,2359886,526049,1155807,6.13067,4.486057382487183,93.86933,73465.85809653517,0.23734461,54.228772000000006
Chhattisgarh,Uttar Bastar Kanker,748941,160937,389359,3.50475,4.653628438457284,96.49525,77981.91045756609,0.14778242,36.514968
Dadra And Nagar Haveli,Dadra & Nagar Haveli,343709,76458,157161,2.65216,4.495396165214889,97.34784,68587.5260758374,0.14020342,33.269704
Daman And Diu,Daman,191173,50376,105521,0.0,3.79492218516754,100.0,82794.90304593221,0.02651255,6.266086
Daman And Diu,Diu,52074,10580,15750,0.14805,4.921928166351607,99.85195,45368.129968890426,0.01602107,4.329436
Goa,North Goa,818008,191766,327658,0.30613,4.265657102927526,99.69387,60083.39771738173,0.02157983,5.907762
Goa,South Goa,640537,151845,249590,0.0,4.218360828476407,100.0,58448.61420963972,0.0198038,5.182965
Gujarat,Ahmadabad,7214225,1510134,2594952,0.61207,4.7772085126220585,99.38793,53954.90160065704,0.0319561,8.157443
Gujarat,Amreli,1514190,294837,657139,0.8378699999999998,5.135685141281454,99.16213,65098.07223664137,0.05275488,13.141717
Gujarat,Anand,2092745,427605,844794,2.1032800000000003,4.894107879935922,97.89672,60551.62000148131,0.07206995,17.777356
Gujarat,Bharuch,1551019,333483,627124,2.77365,4.650968715046944,97.22635,60649.54716866783,0.09542766,23.075063
Gujarat,Bhavnagar,2880365,538605,1150632,0.65646,5.347824472479832,99.34354,59921.15582573737,0.07654097,19.625744
Gujarat,Dohad,2127086,334272,999124,20.69517,6.363338837832663,79.30483,70457.23586164358,0.26806336,59.909312
Gujarat,Gandhinagar,1391753,289990,534976,5.47083,4.799313769440325,94.52917,57658.50693334234,0.08443975,18.751912
Gujarat,Jamnagar,2160119,430941,847440,1.76753,5.0125632047078374,98.23247,58846.75797953724,0.06437347,14.327784
Gujarat,Junagadh,2743082,527326,1123709,0.59019,5.201871328172706,99.40981,61447.79849818562,0.04923219,11.874073
Gujarat,Kachchh,2092371,445672,776228,4.71457,4.694867525893482,95.28543,55647.0147980449,0.1437056,30.981636
Gujarat,Kheda,2299885,466856,933983,4.26597,4.926326319036277,95.73403,60914.98053163527,0.10941755,27.323276000000003
Gujarat,Mahesana,2035064,424479,812064,2.73089,4.794263084864033,97.26911,59855.41486655948,0.04925853,11.901381
Gujarat,Narmada,590297,122174,294795,6.77045,4.831609016648387,93.22955,74910.17233697613,0.1845365,45.861969
Gujarat,Navsari,1329672,295131,591834,1.6271399999999998,4.5053620256767335,98.37286,66764.66075844268,0.07992855,20.502525
Gujarat,Patan,1343734,267633,554830,5.8450500000000005,5.020808345757063,94.15495,61935.24908947753,0.10657893,25.686434
Gujarat,Porbandar,585449,124556,231169,0.5134599999999999,4.700287420919104,99.48654,59228.643314789166,0.04147019,10.477707
Gujarat,Rajkot,3804558,786586,1479050,1.52862,4.836798519170186,98.47138,58313.60699455759,0.04205025,10.320862
Gujarat,Surat,6081322,1333200,2553542,1.26183,4.561447644764477,98.73817,62984.87401259135,0.0422112,10.702302
Gujarat,Surendranagar,1756268,343213,723500,3.96511,5.117137171377541,96.03489,61792.96098317569,0.12025137,26.250687
Gujarat,Tapi,807022,177091,450902,6.3995,4.557103410111186,93.6005,83808.49592700075,0.16383237,42.69928
Gujarat,The Dangs,228291,44699,118257,11.81774,5.107295465222935,88.18226,77701.48626095642,0.29224457,64.7102
Gujarat,Vadodara,4165626,877106,1693473,2.54018,4.74928457905886,97.45982,60980.25842934531,0.10138744,23.221057
Gujarat,Valsad,1705678,364403,743245,1.2682,4.680746316578074,98.7318,65362.13165673709,0.10272872,23.307075
Haryana,Ambala,1128350,224334,372139,0.15053,5.029777028894417,99.84947,49471.219036646435,0.0124348,3.360056
Haryana,Bhiwani,1634445,311380,623006,0.69343,5.249036546984392,99.30657,57175.92210199792,0.04726457,12.373763
Haryana,Faridabad,1809733,358919,579229,0.74996,5.042176647098649,99.25004,48009.48537712469,0.04248582,10.21836
Haryana,Fatehabad,942011,180637,369083,0.25446,5.214939353510078,99.74554,58770.492064317725,0.039243,9.885802
Haryana,Gurgaon,1514432,326428,544716,0.24155,4.639405933314544,99.75845,53952.504965558044,0.032343,8.100122
Haryana,Hisar,1743931,335608,691621,0.8345899999999999,5.196333222092441,99.16541,59488.10474726351,0.03749398,9.683723
Haryana,Jhajjar,958405,185334,326534,0.6570999999999999,5.1712313984482075,99.3429,51105.847736604046,0.01607464,4.190984
Haryana,Jind,1334152,249736,523422,0.48631,5.342249415382644,99.51369,58848.84181112796,0.03297077,8.549062000000001
Haryana,Kaithal,1074304,204274,373899,0.13168,5.259132341854568,99.86832,52205.75367866078,0.03556644,9.21627
Haryana,Karnal,1505324,292084,516062,0.18798,5.153736596321606,99.81202,51423.68021768071,0.02899438,7.145517
Haryana,Kurukshetra,964655,188143,336780,0.13291,5.127243639146819,99.86709,52367.94501661215,0.02133192,5.377358
Haryana,Mahendragarh,922088,171712,338584,1.22104,5.369968319045844,98.77896,55078.907869964685,0.02375008,6.391425000000001
Haryana,Mewat,1089263,160280,289964,9.98719,6.796000748689793,90.01281,39930.3014974345,0.2911391,58.144522
Haryana,Palwal,1042708,171157,309563,5.62762,6.092114257669858,94.37237999999999,44532.55369672046,0.10430929,24.103440000000003
Haryana,Panchkula,561293,117107,211479,0.33606,4.792992733141486,99.66394,56515.67006893013,0.01063071,2.742851
Haryana,Panipat,1205437,235640,412318,0.0,5.115587336615175,100.0,51307.285241783684,0.02758678,6.577344999999999
Haryana,Rewari,900332,178043,337727,0.98143,5.0568233516622385,99.01857,56267.077033805304,0.02919851,7.622877
Haryana,Rohtak,1061204,206988,345967,0.6548799999999999,5.12688658279707,99.34512,48902.04899340749,0.0429489,10.329952
Haryana,Sirsa,1295189,246571,502003,0.69423,5.252803452149685,99.30577,58138.580546931764,0.05012823,12.507376
Haryana,Sonipat,1450001,277726,523179,0.42872,5.22097679007367,99.57128,54121.92819177366,0.01508667,3.892516
Haryana,Yamunanagar,1214205,235423,389233,0.13135,5.157546204066723,99.86865,48084.91976231361,0.02866161,7.644228999999998
Himachal Pradesh,Bilaspur,381956,80485,205871,0.11615,4.745679319127788,99.88385,80848.71032265497,0.02651408,7.508766
Himachal Pradesh,Chamba,519080,102460,294035,1.54411,5.066172164747218,98.45589,84968.11666795099,0.04162599,10.603683
Himachal Pradesh,Hamirpur,454768,105519,241931,0.32441,4.3098209801078475,99.67559,79798.1608204623,0.01500407,4.181045
Himachal Pradesh,Hamirpur,454768,105519,241931,0.32441,4.3098209801078475,99.67559,79798.1608204623,0.01500407,4.181045
Himachal Pradesh,Kangra,1510075,338887,675170,0.0,4.455983853024755,100.0,67066.53643030976,0.02561217,7.161803
Himachal Pradesh,Kinnaur,84121,19976,56273,0.59492,4.2111033239887865,99.40508,93318.39521718805,0.02612862,7.077965999999999
Himachal Pradesh,Kullu,437903,94807,269084,0.4627,4.618888900608605,99.5373,92172.46741858358,0.03987695,11.059018
Himachal Pradesh,Mandi,999777,219145,572671,0.2975799999999999,4.562171165210249,99.70242,85919.81011765623,0.03106255,8.457013
Himachal Pradesh,Shimla,814010,184362,430926,0.50226,4.415280806239897,99.49774,79407.99253080429,0.03418176,9.266529
Himachal Pradesh,Sirmaur,529855,98208,280083,0.80213,5.3952325676115995,99.19787,79290.46625963708,0.05396787,13.40357
Himachal Pradesh,Solan,580320,122425,298737,1.16448,4.74020829079028,98.83552,77216.9665012407,0.03077392,7.662125
Himachal Pradesh,Una,521173,110332,215346,0.32598,4.723679440234927,99.67402,61979.22762691083,0.01832592,4.877346
Jammu And Kashmir,Anantnag,1078692,153640,389684,3.39109,7.020906014058839,96.60891,54188.40595832731,0.04288032,9.711656
Jammu And Kashmir,Badgam,753745,103363,214866,0.94253,7.292212880818088,99.05747,42759.686631420445,0.04200183,10.54808
Jammu And Kashmir,Bandipore,392232,58392,149317,4.70578,6.717221537196877,95.29422,57102.81160129719,0.05533849,12.813997999999998
Jammu And Kashmir,Baramula,1008039,152635,304200,0.1001799999999999,6.604245422085367,99.89982,45266.10577566939,0.03865058,9.486904000000001
Jammu And Kashmir,Doda,409936,79636,151912,5.86505,5.147621678637802,94.13495,55586.23785176223,0.13803212,31.777036
Jammu And Kashmir,Ganderbal,297446,45361,100890,0.34625,6.55730693767774,99.65375,50878.14258722591,0.04076009,9.999264
Jammu And Kashmir,Jammu,1529958,314199,508622,0.11964,4.8693916912529955,99.88036,49866.270838807344,0.03608146,9.017879
Jammu And Kashmir,Kargil,140802,18338,51873,2.40492,7.6781546515432435,97.59508,55261.644010738484,0.09557306,25.287529
Jammu And Kashmir,Kathua,616435,119583,200431,0.35449,5.154871511836967,99.64551,48771.80886873717,0.07836531,19.254069
Jammu And Kashmir,Kishtwar,230696,45209,82974,12.789890000000002,5.102877745581632,87.21011,53950.22020321115,0.12622654,29.340421
Jammu And Kashmir,Kulgam,424483,73728,159990,2.82414,5.757419162326389,97.17586,56535.83300155719,0.03928951,9.561287
Jammu And Kashmir,Kupwara,870354,113929,229064,6.31399,7.639442108681723,93.68601,39477.72975134256,0.07924354,20.081075
Jammu And Kashmir,Pulwama,560440,86241,188420,1.59129,6.498533180273884,98.40871,50430.01927057312,0.01934441,4.871719
Jammu And Kashmir,Punch,476835,90261,161393,3.35136,5.282846412071659,96.64864,50770.07769983328,0.11047705,26.140637
Jammu And Kashmir,Rajouri,642415,130401,290912,5.82207,4.926457619190037,94.17793,67926.18478709245,0.12591741,29.605649
Jammu And Kashmir,Ramban,283713,55490,87212,11.15189,5.112867183276266,88.84811,46109.27239851541,0.17277106,39.076695
Jammu And Kashmir,Reasi,314667,56689,144767,9.62577,5.550759406586816,90.37423,69009.61969319948,0.10416688,25.068152
Jammu And Kashmir,Samba,318898,65385,92526,0.62186,4.87723483979506,99.37814,43521.439457130495,0.05061385,12.792979
Jammu And Kashmir,Shupiyan,266215,44411,87721,3.20563,5.9943482470559095,96.79437,49426.77910711268,0.03594972,8.790963
Jammu And Kashmir,Srinagar,1236829,191678,407188,0.05894,6.4526393221966005,99.94106,49382.89771666091,0.0101006,2.657546
Jammu And Kashmir,Udhampur,554985,99240,243672,2.52444,5.592351874244256,97.47556,65859.07727235871,0.13516417,31.491977
Jharkhand,Bokaro,2062330,394918,685368,11.52696,5.222172704206949,88.47304,49849.05422507552,0.13784698,33.463002
Jharkhand,Chatra,1042886,182271,397690,57.15943,5.721623297178377,42.84057,57200.40349568409,0.27982769,58.365707
Jharkhand,Deoghar,1492073,264347,551467,18.73513,5.6443727373490145,81.26487,55439.68023012279,0.21650347,49.090905
Jharkhand,Dhanbad,2684487,507064,844504,3.51359,5.294177855260874,96.48641,47188.010223182304,0.13332667,32.79795
Jharkhand,Dumka,1321442,275019,624779,28.92086,4.804911660648901,71.07914,70920.13875750884,0.26539828,58.714518000000005
Jharkhand,Garhwa,1322784,254697,571431,48.19331,5.193559405882284,51.80669,64798.674613542345,0.25785173,57.790675
Jharkhand,Giridih,2445474,396521,1036277,8.43104,6.167325311900252,91.56896,63562.95343970126,0.24342539,54.989585
Jharkhand,Godda,1313551,253648,552191,19.80123,5.178637324165773,80.19877,63057.04917433735,0.26423104,58.090451
Jharkhand,Gumla,1025213,188988,487508,21.64812,5.424751836095414,78.35188,71327.81187909243,0.21755416,48.543435
Jharkhand,Hazaribagh,1734495,304749,654636,2.99528,5.691552720435506,97.00472,56613.250542665155,0.16154433,39.280998
Jharkhand,Jamtara,791042,155275,326631,16.10202,5.094458219288359,83.89798,61936.850382154174,0.2468856,56.639746
Jharkhand,Khunti,531885,103700,259984,31.06948,5.12907425265188,68.93052,73319.60856200119,0.24485884,54.964988000000005
Jharkhand,Kodarma,716259,116155,257418,8.17282,6.166406956222289,91.82718,53908.85140710274,0.16085809,38.01756
Jharkhand,Latehar,726978,133381,313379,43.84692,5.450386486830958,56.15308,64660.622467254856,0.26246769,56.059361
Jharkhand,Lohardaga,461790,88638,221332,17.02287,5.209842279834834,82.97713,71893.71792373157,0.22546381,51.93607300000001
Jharkhand,Pakur,900422,182317,404584,22.600990000000003,4.938771480443403,77.39901,67399.06399443817,0.32222743,66.193179
Jharkhand,Palamu,1939869,358754,713175,36.22382,5.40724005864743,63.77618,55146.12069165495,0.22920171,48.73768
Jharkhand,Pashchimi Singhbhum,1502338,302046,694863,30.64992,4.973871529502129,69.35007999999999,69378.16257060661,0.3089391,61.717928
Jharkhand,Purbi Singhbhum,2293919,476931,837167,7.32914,4.809750257374756,92.67086,54742.58245387043,0.1097387,25.761677
Jharkhand,Ramgarh,949443,179375,312125,4.08725,5.293062020905923,95.91275,49311.80702791004,0.13349167,32.085814
Jharkhand,Ranchi,2914253,569444,1142867,6.59622,5.1177165796812325,93.40378,58824.69710076647,0.12199008,29.315256
Jharkhand,Sahibganj,1150567,227023,490202,25.196030000000004,5.068063588270792,74.80396999999999,63907.88193994787,0.29379477,59.965588
Jharkhand,Simdega,599578,118288,288645,43.95399,5.068798187474638,56.04601,72212.03913419104,0.24619805,55.253056
Karnataka,Bagalkot,1889752,361149,818081,2.34255,5.232610363035755,97.65745,64935.584140141145,0.1209817,31.07287
Karnataka,Bangalore,9621551,2393845,4246927,0.39965,4.019287380761912,99.60035,66209.600718221,0.00690498,1.865421
Karnataka,Bangalore Rural,990923,229279,459891,1.19266,4.321909115095583,98.80734,69615.55035053178,0.04242649,11.29948
Karnataka,Belgaum,4779661,983854,2105668,1.27125,4.858099880673352,98.72875,66082.134276887,0.06170101,16.363125
Karnataka,Bellary,2452595,489118,1116880,2.09149,5.014321697422708,97.90851,68308.05738411764,0.12334306,28.837674000000003
Karnataka,Bidar,1703300,319937,702608,1.93482,5.323860635062528,98.06518,61874.713790876536,0.10062499,25.473476
Karnataka,Bijapur,2177331,408806,927722,3.3504600000000004,5.3260739813016444,96.64954,63912.3311981504,0.11979442,30.390329
Karnataka,Chamarajanagar,1020791,244874,481693,4.81614,4.168637748393051,95.18386,70782.31489109916,0.09524255,23.758551
Karnataka,Chikkaballapura,1255104,284698,639778,2.0185600000000004,4.4085451952595385,97.98144,76461.15381673552,0.08946068,23.092666
Karnataka,Chikmagalur,1137961,276085,565774,3.86267,4.12177771338537,96.13733,74577.33613014857,0.05085613,13.106349
Karnataka,Chitradurga,1659456,357003,856587,3.1357700000000004,4.648297073133839,96.86423,77427.8136931621,0.0842964,20.920675
Karnataka,Dakshina Kannada,2089649,439733,997721,1.92163,4.7520859248680445,98.07837,71618.79818093852,0.02507722,6.3930810000000005
Karnataka,Davanagere,1945497,410176,875207,1.09779,4.743078580901857,98.90221,67479.44098603082,0.0663595,16.841016
Karnataka,Dharwad,1847023,382700,784833,1.07255,4.826294747844265,98.92745,63737.674084188446,0.05136541,13.456115
Karnataka,Gadag,1064570,219096,495722,2.15374,4.858920290648848,97.84626,69848.20162131189,0.12007801,30.235731
Karnataka,Gulbarga,2566326,471601,1087028,1.28975,5.441731463673741,98.71025,63536.043355364825,0.1195736,29.747468
Karnataka,Hassan,1776421,433453,903580,2.50928,4.098301315252173,97.49072,76297.79202114814,0.04318701,11.569471
Karnataka,Haveri,1597668,330414,730066,2.67577,4.835352012929234,97.32423,68543.58978210743,0.07938738,20.469339
Karnataka,Kodagu,554519,142716,278938,3.06433,3.88547184618403,96.93567,75454.04215184692,0.04429556,10.506487
Karnataka,Kolar,1536401,333348,717872,0.82354,4.609000203991024,99.17646,70086.39020672337,0.05575608,14.808013
Karnataka,Koppal,1389920,264595,654766,1.74064,5.253009316124643,98.25936,70662.26833199033,0.12160031,30.829975
Karnataka,Mandya,1805769,428625,871408,1.2069,4.2129343832021,98.7931,72385.3383240049,0.04191444,10.865359
Karnataka,Mysore,3001127,700968,1314268,2.49607,4.281403716004154,97.50393,65688.72293641689,0.03699025,9.36585
Karnataka,Raichur,1928812,363853,903413,2.00958,5.301074884637477,97.99042,70256.69168379293,0.15435114,36.060981
Karnataka,Ramanagara,1082636,260533,531459,1.8131,4.155465910268565,98.1869,73634.02842691357,0.04600274,12.419928
Karnataka,Shimoga,1752753,406816,780598,3.50694,4.308466235349642,96.49306,66803.30885184622,0.06399146,16.419761
Karnataka,Tumkur,2678980,640081,1354646,1.52706,4.185376538281874,98.47294,75848.60655921283,0.07645316,19.436433
Karnataka,Udupi,1177361,253078,513241,1.29909,4.652166525735149,98.70091,65388.73803361926,0.04654101,11.731255
Karnataka,Uttara Kannada,1437169,324530,608526,2.53533,4.428462699904477,97.46467,63512.98977364528,0.0645021,16.290346
Karnataka,Yadgir,1174271,202063,547696,1.74402,5.811410302727367,98.25598,69962.04453656779,0.21354785,48.978323
Kerala,Alappuzha,2127789,535958,804471,0.41135,3.9700666843297423,99.58865,56711.75572389932,0.00311691,0.834936
Kerala,Ernakulam,3282388,814011,1249343,0.05125,4.032363199023109,99.94875,57093.021909658455,0.00059203,0.177609
Kerala,Idukki,1108974,279812,516363,0.64031,3.9632824896716365,99.35969,69843.34168339384,0.00767916,2.092928
Kerala,Kannur,2523003,554298,824116,1.2835,4.551708647694922,98.7165,48996.136746567485,0.00223841,0.614632
Kerala,Kasaragod,1307375,273410,462998,0.87185,4.781738049083794,99.12815,53121.48388947319,0.00844426,1.947727
Kerala,Kollam,2635375,669375,912025,1.84695,3.937068160597572,98.15305,51910.544040221976,0.00588565,1.562643
Kerala,Kottayam,1974551,487296,735735,0.35019,4.052056655503021,99.64981,55891.31402531512,0.00038303,0.1149099999999999
Kerala,Kozhikode,3086293,697710,948981,0.84206,4.423461036820456,99.15794,46122.370753522104,0.003129,0.8985609999999999
Kerala,Malappuram,4112920,793999,1062424,0.55141,5.180006523937688,99.44859,38747.070208027384,0.00565493,1.5805030000000002
Kerala,Palakkad,2809934,637220,1042340,0.82305,4.409676406892439,99.17695,55642.23216630711,0.00355185,0.970923
Kerala,Pathanamthitta,1197412,322684,392794,0.7619199999999999,3.710788263440394,99.23808,49205.369580395054,0.00498158,1.216559
Kerala,Thiruvananthapuram,3301427,837877,1231669,0.59619,3.9402286970521927,99.40381,55960.75575804039,0.00542791,1.488313
Kerala,Thrissur,3121200,759210,1095727,0.19784,4.111115501639863,99.80216,52658.929257977696,0.00123657,0.354511
Kerala,Wayanad,817420,190894,340077,3.8918,4.28206229635295,96.1082,62405.5565070588,0.01592948,3.854489
Lakshadweep,Lakshadweep,64473,11574,18753,0.04544,5.570502851218248,99.95456,43629.89158252292,0.00674756,1.835588
Madhya Pradesh,Alirajpur,728999,123800,366797,7.08857,5.888521809369951,92.91143,75472.73727398802,0.40243094,76.45142
Madhya Pradesh,Anuppur,749237,170715,346471,19.64171,4.3888176200099585,80.35829,69364.76708971927,0.20522802,47.903455
Madhya Pradesh,Ashoknagar,845071,172680,315270,11.46808,4.893855686819551,88.53192,55960.386760402376,0.22197176,50.772216
Madhya Pradesh,Balaghat,1701698,391836,893014,10.95655,4.342883247072755,89.04345,78716.72882027246,0.20116762,49.57625
Madhya Pradesh,Barwani,1385881,243277,653897,10.08664,5.696720199607855,89.91336,70774.1501615218,0.34756783,65.172279
Madhya Pradesh,Betul,1575362,329832,786980,6.43015,4.776255790826845,93.56985,74933.25343635304,0.172506,39.338284
Madhya Pradesh,Bhind,1703005,299233,520768,11.79713,5.69123392139236,88.20287,45869.03737804645,0.15722038,39.086968
Madhya Pradesh,Bhopal,2371061,501805,867457,1.40339,4.725064517093293,98.59661,54877.774127278884,0.06059739,14.143953000000002
Madhya Pradesh,Burhanpur,757847,146341,328339,9.28342,5.178637565685625,90.71658,64987.853748843765,0.18708502,37.858048
Madhya Pradesh,Chhatarpur,1762375,356297,751797,20.22529,4.946364970796835,79.77471,63987.26150790836,0.24365633,54.103016
Madhya Pradesh,Chhindwara,2090922,443361,957984,9.48168,4.716071102329704,90.51832,68724.51483125627,0.1484421,34.381009
Madhya Pradesh,Damoh,1264219,297608,574595,13.02282,4.247933523292384,86.97718,68175.88566537917,0.21918839,50.057833
Madhya Pradesh,Datia,786754,160215,321160,9.48029,4.910613862622101,90.51971,61231.337876896716,0.16167048,38.522121
Madhya Pradesh,Dewas,1563715,308871,742676,1.12795,5.062679889015155,98.87205,71241.49861068033,0.14926457,34.394371
Madhya Pradesh,Dhar,2185793,425914,1027974,4.05909,5.132005522241579,95.94091,70544.69476295331,0.2053465,44.326538
Madhya Pradesh,Dindori,704524,169630,389925,24.45294,4.1532983552437654,75.54706,83018.81837950162,0.27796643,61.234984
Madhya Pradesh,Guna,1241519,244401,514897,5.92142,5.079844190490219,94.07858,62209.720511727974,0.2217917,49.502038
Madhya Pradesh,Gwalior,2032036,383845,685311,3.83061,5.2938972762443175,96.16938999999999,50588.00631484875,0.09620203,22.778291
Madhya Pradesh,Harda,570465,113379,230979,3.06733,5.031487312465272,96.93267,60734.40088348978,0.15206682,34.202019
Madhya Pradesh,Hoshangabad,1241350,257199,478082,5.03845,4.826418454193057,94.96155,57769.605671245015,0.11223056,26.876416
Madhya Pradesh,Indore,3276697,649540,1268195,0.70889,5.044642362287157,99.29111,58055.18484009965,0.05130659,11.968425
Madhya Pradesh,Jabalpur,2463289,539060,1005624,4.33812,4.569600786554372,95.66188,61236.66366390626,0.10409916,24.789246
Madhya Pradesh,Jhabua,1025048,194157,515121,11.2034,5.279480008446773,88.7966,75380.0309839149,0.3702986,71.52944500000001
Madhya Pradesh,Katni,1292042,289551,543874,15.90347,4.462225998183395,84.09653,63141.213675716426,0.18516637,42.687801
Madhya Pradesh,Khandwa (East Nimar),1310061,266655,612976,8.03782,4.912943691286494,91.96218,70184.82345478568,0.20951104,46.480838000000006
Madhya Pradesh,Khargone (West Nimar),1873046,367988,894119,1.91312,5.089964890159462,98.08688,71604.14106220563,0.18846281,42.357978
Madhya Pradesh,Mandla,1054905,250146,559649,21.3042,4.217157180206759,78.69579999999999,79578.11366900337,0.24703549,54.601423
Madhya Pradesh,Mandsaur,1340411,286808,679723,1.93095,4.673548157652506,98.06905,76065.06511808692,0.15824656,38.39207
Madhya Pradesh,Morena,1965970,362646,675993,11.05761,5.421182089420537,88.94239,51577.05865298046,0.1581091,37.473388
Madhya Pradesh,Narsimhapur,1091854,250286,477818,6.78569,4.362425385359149,93.21431,65643.11712005452,0.13267221,31.569303
Madhya Pradesh,Neemuch,826067,179746,418682,1.81912,4.595746219665528,98.18088,76025.67346232207,0.1445057,34.295689
Madhya Pradesh,Panna,1016520,228709,431998,18.45645,4.444599906431317,81.54355,63746.60606776059,0.21144944,47.400193
Madhya Pradesh,Raisen,1331597,278895,517838,5.93349,4.774545976084189,94.06651,58332.73880911417,0.16671627,39.796781
Madhya Pradesh,Rajgarh,1545814,345297,745603,4.0602,4.476766377929724,95.9398,72350.52211973756,0.21021166,48.536185
Madhya Pradesh,Ratlam,1455069,296683,690980,5.49859,4.904456945628836,94.50140999999999,71231.67354950178,0.19709734,43.325867
Madhya Pradesh,Rewa,2365106,526065,991946,11.21913,4.49584366950852,88.78087,62911.302918347006,0.17379677,41.676918
Madhya Pradesh,Sagar,2378458,517850,1006035,14.060909999999998,4.592947764796756,85.93909000000001,63446.674273836245,0.17416763,42.255031
